page_id,title,gemini_category,coherence_score,verdict,reason,elapsed_s
page_0047,NHS England » Checkpoint 2 customer survey,NHS Screening Services,0.407,DISAGREE,The content discusses customer surveys and commissioning support services for CCGs rather than screening services within NHS Screening Services classification.,69.1
page_0073,"Bulletin for proposed CCGs – Issue 15, 14 June 2012 | NHS England",NHS Screening Services,0.6,DISAGREE,The content discusses Clinical Commissioning Groups (CCGs) and authorisation processes for NHS services in England but does not specifically mention screening services within the context of the Gemini classification.,70.2
page_0074,Next stop Stockholm … – Johnny Marshall | NHS England,Health inequalities,0.55,DISAGREE,The content discusses system leadership and changes within NHS England but does not specifically address health inequalities as its central theme.,63.8
page_0092,Jaws in Space – Johnny Marshall | NHS England,Workforce transformation,0.6,DISAGREE,The page content primarily discusses CCG authorisation and governance rather than workforce transformation issues within NHS England.,65.0
page_0094,Operations directorate: key directors appointed | NHS England,NHS Screening Services,0.645,DISAGREE,The content discusses appointments to director posts within NHS England's Operations Directorate and does not pertain specifically to screening services.,63.4
page_0113,Board Authority provides more detail on commissioning support hosting and governance | NHS England,NHS Screening Services,0.6,DISAGREE,,73.5
page_0149,Historical PDF conversion: Disproportionate burden assessment - NHS Digital,Digital skills,0.64,UNCERTAIN,,59.0
page_0320,Health Education England » Postgraduate Dean receives award for surgical education and training,Health academia,0.5,UNCERTAIN,,67.1
page_0329,Health Education England » HEE launches first national consultation on a NHS bands 1-4 workforce strategy,Workforce transformation,0.55,UNCERTAIN,,69.2
page_0341,NHS England » NHS Commissioning Board Special Health Authority announces designate executive directors at first meeting,NHS Screening Services,0.64,DISAGREE,The content discusses appointments to leadership roles within NHS Commissioning Board Special Health Authority and does not pertain specifically to screening services.,63.2
page_0354,Briefing note on CCG indicative running cost allowances | NHS England,NHS Screening Services,0.52,DISAGREE,The content discusses CCG indicative running costs allowances and does not pertain to NHS Screening Services specifically.,52.1
page_0376,NHS England » NHS Commissioning Board Authority at the NHS Confederation Annual Conference,NHS Screening Services,0.52,DISAGREE,,71.6
page_0395,NHS England » The month,NHS Screening Services,0.6,DISAGREE,,66.8
page_0396,NHS England » Busiest November ever as new figures show pressures on NHS staff,NHS Screening Services,0.5,DISAGREE,"The content discusses NHS staff workload and patient statistics across various services like A&E, elective treatment, and urgent care but does not specifically mention screening services as the focus of this page.",85.8
page_0397,NHS England » Our funding,NHS Screening Services,0.6,DISAGREE,"The page content discusses funding allocations and priorities for local health services, direct commissioning of various care types including screenings, but does not specifically mention ""NHS Screening Services.""",75.3
page_0407,"NHS England » 3. Deliver more elective care to tackle the elective backlog, reduce long waits and improve performance against cancer waiting times standards",NHS Screening Services,0.64,DISAGREE,The content focuses primarily on elective care and cancer waiting times rather than screening services.,64.2
page_0427,Access and store digital patient documents - NHS England Digital,NHS Screening Services,0.52,DISAGREE,"The page content discusses digital storage and access for historical Lloyd George records, not screening services as suggested by the classification.",54.8
page_0472,Supplier status: Clinical assessment services referral (and booking) - NHS Digital,NHS Screening Services,0.673,UNCERTAIN,,80.0
page_0010,NHS England » Ed Smith confirmed as Audit Committee Chair of NHS Commissioning Board Authority,NHS Screening Services,0.673,DISAGREE,The content discusses Ed Smith's role in auditing and risk management within NHS Commissioning Board Authority rather than screening services.,68.6
page_0020,NHS England » National Director: Patient Insight,NHS Screening Services,0.664,DISAGREE,The content focuses on patient insight and leadership for improving outcomes in NHS services rather than screening services specifically.,69.7
page_0022,Authorisation: Final draft guide published and next steps outlined | NHS England,NHS Screening Services,0.556,DISAGREE,The content discusses Clinical Commissioning Group authorizations and NHS England's processes for establishing new commissioners but does not specifically mention screening services within the context of this classification.,73.4
page_0053,NHS England » Application waves for CCG authorisation,NHS Screening Services,0.492,DISAGREE,The content is about CCG authorisation applications and waves which do not align directly with NHS Screening Services topics.,92.2
page_0078,NHS England » Authorisation assessors guide published,NHS Screening Services,0.608,DISAGREE,"The content discusses CCG authorisation processes and tools for financial governance in NHS England, which does not align with ""NHS Screening Services.""",66.8
page_0089,Board meeting – 19 July 2012 | NHS England,NHS Screening Services,0.664,DISAGREE,"The content discusses an NHS board meeting and related activities which do not align specifically to screening services as implied by ""NHS Screening Services.""",73.7
page_0090,NHS England » Proposals for authorisation conditions and support published,NHS Screening Services,0.685,DISAGREE,"The content discusses authorisation governance for Clinical Commissioning Groups (CCGs), not screening services specifically within NHS England's scope of work as per the provided page title and content snippet.",77.6
page_0107,NHS England » Your chance to work with the NHS to help challenge and shape the health system of the future,NHS Screening Services,0.67,DISAGREE,The page content discusses lay assessors for CCGs and does not specifically mention NHS screening services.,64.8
page_0110,Jaws in Space 2 – Johnny Marshall | NHS England,Personalised care,0.644,DISAGREE,The page content discusses NHS vision and innovation but does not specifically focus on personalized care as its central theme.,76.9
page_0152,International Women's Day 2022 - NHS Digital,NHS Screening Services,0.676,DISAGREE,The content focuses more on individual career stories and roles within NHS Digital rather than screening services specifically.,74.9
page_0155,Orlagh Zielinski - NHS Digital,Digital skills,0.6,UNCERTAIN,,69.3
page_0156,Priyanka Mittal - NHS Digital,Digital skills,0.64,UNCERTAIN,,71.7
page_0175,Feedback and complaints - NHS Digital,NHS Screening Services,0.607,DISAGREE,The page content discusses feedback and complaints about NHS Digital's work but does not specifically mention screening services.,76.1
page_0194,Advisory Group for Data minutes - NHS England Digital,NHS Screening Services,0.525,UNCERTAIN,,121.5
page_0200,Our diversity and inclusion journey continues - NHS England Digital,Workforce transformation,0.695,DISAGREE,The page content focuses more on diversity and inclusion initiatives rather than workforce transformation as per the classification provided by Gemini.,67.6
page_0205,Workforce Race Equality Standard (WRES) - NHS England Digital,Workforce transformation,0.68,DISAGREE,The page content focuses primarily on reporting and monitoring workforce diversity rather than transformation initiatives.,76.1
page_0207,Our workforce demographics 2017 - NHS Digital,Workforce transformation,0.595,UNCERTAIN,,85.8
page_0332,Health Education England » Dementia Health and Social Care Stakeholder event,Health academia,0.627,UNCERTAIN,,76.9
page_0337,Health Education England » HEE signs international agreement to help train Chinese GPs,Health academia,0.683,UNCERTAIN,,65.2
page_0352,Future ambitions – Jane Cummings | NHS England,Personalised care,0.658,UNCERTAIN,,56.8
page_0391,NHS England » Revalidation Matters,NHS Screening Services,0.654,DISAGREE,The content primarily discusses revalidation matters for NHS practitioners and does not focus specifically on screening services.,67.9
page_0399,NHS England » Business plan,NHS Screening Services,0.657,DISAGREE,The content focuses primarily on NHS England's business priorities and plans for healthcare improvement rather than specifically on screening services.,59.8
page_0436,Death registration enquiries - NHS Digital,NHS Screening Services,0.696,DISAGREE,The page content discusses death registration enquiries and adoption services rather than screening services offered by NHS Digital.,66.3
page_0444,API platform - NHS Digital,Personalised care,0.599,DISAGREE,The content focuses more on API development and usage within NHS Digital rather than personalized care directly.,67.0
page_0449,Benefits management - NHS Digital,Medicines optimisation,0.653,DISAGREE,The content discusses benefits management in NHS Digital and does not specifically mention medicines optimisation as its focus.,60.6
page_0453,Allocate or notify - NHS Digital,NHS Screening Services,0.531,UNCERTAIN,,65.6
page_0460,Entering birth details into another system - NHS Digital,NHS Screening Services,0.56,DISAGREE,The content discusses entering birth details into another system and is part of maternity services guidance rather than screening services.,62.4
page_0469,Supplier status: 999 AST to CAS - NHS Digital,NHS Screening Services,0.664,DISAGREE,The page content does not relate to NHS screening services but rather discusses IT system suppliers and their status regarding BaRS for UEC (Application 3).,71.1
page_0501,Practice level prescribing - glossary of terms - NHS Digital,Medicines optimisation,0.676,UNCERTAIN,,79.4
page_0389,NHS England » Improving communication about gender identity services,NHS Screening Services,0.676,DISAGREE,,68.0
