page_a,page_b,title_a,title_b,mismatch_type,gemini_similarity,kg_similarity,content_excerpt_a,content_excerpt_b,expert_verdict,notes
page_0233,page_0235,GPES Cardiovascular Disease Prevention Audit - NHS Digital,GPES Cardiovascular Disease Prevention Audit - NHS Digital,CONFLICT,0.9994,0.432,GPES Cardiovascular Disease Prevention Audit Data Provision Notice to require the submission of general practice data in connection with the national Cardiovascular Disease Prevention Audit (CVDPREVENT Audit). Page contents Overview NHS England has directed NHS Digital to collect and analyse data in,GPES Cardiovascular Disease Prevention Audit Data Provision Notice to require the submission of general practice data in connection with the national Cardiovascular Disease Prevention Audit (CVDPREVENT Audit). Page contents Overview NHS England has directed NHS Digital to collect and analyse data in,,
page_0233,page_0236,GPES Cardiovascular Disease Prevention Audit - NHS Digital,GPES Cardiovascular Disease Prevention Audit - NHS Digital,CONFLICT,0.9994,0.427,GPES Cardiovascular Disease Prevention Audit Data Provision Notice to require the submission of general practice data in connection with the national Cardiovascular Disease Prevention Audit (CVDPREVENT Audit). Page contents Overview NHS England has directed NHS Digital to collect and analyse data in,GPES Cardiovascular Disease Prevention Audit Data Provision Notice to require the submission of general practice data in connection with the national Cardiovascular Disease Prevention Audit (CVDPREVENT Audit). Page contents Overview NHS England has directed NHS Digital to collect and analyse data in,,
page_0354,page_0361,Briefing note on CCG indicative running cost allowances | NHS England,NHS England » CCG indicative running cost allowances,CONFLICT,0.9893,0.425,The NHS Commissioning Board Authority has today published a briefing note on the indicative running costs allowances for 212 proposed CCGs for 2013-14. The running costs allowance for CCGs has already been set at up to £25 per head of population per year. This limit meets the requirement to reduce s,The NHS Commissioning Board Authority has published the indicative running cost allowances for 212 proposed CCGs for 2013-14. They are in a paper for noting by the Board Authority’s board meeting on 31 May. The running cost allowance for CCGs has already been set at up to £25 per head of population ,,
page_0254,page_0255,COVID-19 At Risk Patients - NHS Digital,COVID-19 At Risk Patients - NHS Digital,CONFLICT,1.0,0.42,"COVID-19 At Risk Patients Data Provision Notices to require the submission of data to help identify patients who may be more at risk if they contract COVID-19, to cover general practice and the detained estate. Page contents Overview The Department of Health and Social Care has directed NHS Digital ","COVID-19 At Risk Patients Data Provision Notices to require the submission of data to help identify patients who may be more at risk if they contract COVID-19, to cover general practice and the detained estate. Page contents Overview The Department of Health and Social Care has directed NHS Digital ",,
page_0038,page_0045,Proposed CCG configuration and member practices published | NHS England,NHS England » Proposed CCG configuration and member practices published,CONFLICT,0.9793,0.42,"The NHS Commissioning Board Authority has published the proposed configuration and member practices for 212 proposed CCGs for the first time. This is a major step forward in the work to establish the new clinical commissioning landscape by April 2013, and, along with the publication of the running c","24 May 2012 - 14:32 The NHS Commissioning Board Authority has published the proposed configuration and member practices for 212 proposed CCGs for the first time. This is a major step forward in the work to establish the new clinical commissioning landscape by April 2013, and, along with the publicat",,
page_0252,page_0253,COVID-19 at-risk patients Data Provision Notices - NHS Digital,COVID-19 at-risk patients Data Provision Notices - NHS Digital,CONFLICT,1.0,0.41,"COVID-19 at-risk patients Data Provision Notices To support the collection of data to identify patients who may be clinically extremely vulnerable if they contract COVID-19, to cover general practice and the criminal justice estate. The data collected will be analysed and linked with other data NHS ","COVID-19 at-risk patients Data Provision Notices To support the collection of data to identify patients who may be clinically extremely vulnerable if they contract COVID-19, to cover general practice and the criminal justice estate. The data collected will be analysed and linked with other data NHS ",,
page_0233,page_0243,GPES Cardiovascular Disease Prevention Audit - NHS Digital,GPES Cardiovascular Disease Prevention Audit - NHS Digital,CONFLICT,1.0,0.409,GPES Cardiovascular Disease Prevention Audit Data Provision Notice to require the submission of general practice data in connection with the national Cardiovascular Disease Prevention Audit (CVDPREVENT Audit). Page contents Overview NHS England has directed NHS Digital to collect and analyse data in,GPES Cardiovascular Disease Prevention Audit Data Provision Notice to require the submission of general practice data in connection with the national Cardiovascular Disease Prevention Audit (CVDPREVENT Audit). Page contents Overview NHS England has directed NHS Digital to collect and analyse data in,,
page_0086,page_0108,NHS Commissioning Board Authority recruits Very Senior Managers (VSM) | NHS England,NHS England » NHS Commissioning Board Authority recruits Very Senior Managers (VSM),CONFLICT,0.9981,0.4,"The NHS Commissioning Board Authority is pleased to announce the following Very Senior Managers (VSM) posts have been recruited to: Commissioning Development Directorate: Rosamond Roughton will be Director for Commissioning Systems and Strategy, responsible for the translation of the NHS Commissioni","The NHS Commissioning Board Authority is pleased to announce the following Very Senior Managers (VSM) posts have been recruited to: Commissioning Development Directorate: Rosamond Roughton will be Director for Commissioning Systems and Strategy, responsible for the translation of the NHS Commissioni",,
page_0232,page_0233,GPES Cardiovascular Disease Prevention Audit - NHS Digital,GPES Cardiovascular Disease Prevention Audit - NHS Digital,CONFLICT,1.0,0.398,GPES Cardiovascular Disease Prevention Audit Data Provision Notice to require the submission of general practice data in connection with the national Cardiovascular Disease Prevention Audit (CVDPREVENT Audit). Page contents Overview NHS England has directed NHS Digital to collect and analyse data in,GPES Cardiovascular Disease Prevention Audit Data Provision Notice to require the submission of general practice data in connection with the national Cardiovascular Disease Prevention Audit (CVDPREVENT Audit). Page contents Overview NHS England has directed NHS Digital to collect and analyse data in,,
page_0120,page_0139,Home - NHS Digital,Home - NHS Digital,CONFLICT,0.9695,0.383,"Data and technology that improves lives We support NHS staff at work, help people get the best care, and use the nation's health data to drive research and transform services. Keeping patient data safe NHS Digital collects data from GP practices to help support care and research. Find out about our ","Data and technology that improves lives We support NHS staff at work, help people get the best care, and use the nation's health data to drive research and transform services. Keeping patient data safe NHS Digital collects data from GP practices to help support care and research. Find out about our ",,
page_0095,page_0105,The Local Health Resilience Partnerships: Implementation information and joint resource pack | NHS England,NHS England » The Local Health Resilience Partnerships: Implementation information and joint resource pack,CONFLICT,0.9974,0.375,"New arrangements for local health emergency preparedness, resilience and response (EPRR) will commence from 1 April 2013 as part of changes the Health and Social Care Act 2012 makes to the health system. A key feature of the new arrangements is the formation of Local Health Resilience Partnerships (","New arrangements for local health emergency preparedness, resilience and response (EPRR) will commence from 1 April 2013 as part of changes the Health and Social Care Act 2012 makes to the health system. A key feature of the new arrangements is the formation of Local Health Resilience Partnerships (",,
page_0133,page_0143,Home - NHS Digital,Home - NHS Digital,CONFLICT,1.0,0.36,"Data and technology that improves lives We support NHS staff at work, help people get the best care, and use the nation's health data to drive research and transform services. Keeping patient data safe NHS Digital collects data from GP practices to help support care and research. Find out about our ","Data and technology that improves lives We support NHS staff at work, help people get the best care, and use the nation's health data to drive research and transform services. Keeping patient data safe NHS Digital collects data from GP practices to help support care and research. Find out about our ",,
page_0077,page_0372,NHS England » Choice and Competition Framework,Choice and Competition Framework | NHS England,CONFLICT,0.9974,0.36,The NHS Commissioning Board Authority (NHS CBA) and Monitor are keen to hear the views of stakeholders at this week’s NHS Confederation Conference (20-22 June 2012) on the development of a Choice and Competition Framework. The aim of the Framework is to help commissioners understand when competition,The NHS Commissioning Board Authority (NHS CBA) and Monitor are keen to hear the views of stakeholders at this week’s NHS Confederation Conference (20-22 June 2012) on the development of a Choice and Competition Framework. The aim of the Framework is to help commissioners understand when competition,,
page_0124,page_0133,Home - NHS Digital,Home - NHS Digital,CONFLICT,0.9844,0.36,"Data and technology that improves lives We support NHS staff at work, help people get the best care, and use the nation's health data to drive research and transform services. Keeping patient data safe NHS Digital collects data from GP practices to help support care and research. Find out about our ","Data and technology that improves lives We support NHS staff at work, help people get the best care, and use the nation's health data to drive research and transform services. Keeping patient data safe NHS Digital collects data from GP practices to help support care and research. Find out about our ",,
page_0371,page_0378,New director appointments to the NHS Commissioning Board | NHS England,NHS England » New director appointments to the NHS Commissioning Board,CONFLICT,0.9948,0.35,"Lord Adebowale, Margaret Casely-Hayford, Dame Moira Gibb and Naguib Kheraj have today been confirmed as four new Non-Executive Directors of the NHS Commissioning Board. Health Secretary Andrew Lansley said: “I am delighted to announce these new appointments to the NHS Commissioning Board. All of the","15 June 2012 - 15:50 Lord Adebowale, Margaret Casely-Hayford, Dame Moira Gibb and Naguib Kheraj have today been confirmed as four new Non-Executive Directors of the NHS Commissioning Board. Health Secretary Andrew Lansley said: “I am delighted to announce these new appointments to the NHS Commission",,
page_0038,page_0357,Proposed CCG configuration and member practices published | NHS England,Clinical commissioning groups: proposed configurations agreed | NHS England,CONFLICT,0.9596,0.35,"The NHS Commissioning Board Authority has published the proposed configuration and member practices for 212 proposed CCGs for the first time. This is a major step forward in the work to establish the new clinical commissioning landscape by April 2013, and, along with the publication of the running c","The board of the NHS Commissioning Board Authority has today agreed the proposed configuration and member practices for 212 proposed clinical commissioning groups (CCGs). This information, along with the publication of the indicative running cost allowances for 2013/14, will enable proposed CCGs to ",,
page_0430,page_0431,Acute Data Alignment Programme (ADAPt) - Piloting private healthcare data in NHS Digital - NHS Digital,Acute Data Alignment Programme (ADAPt) - NHS Digital,CONFLICT,0.9163,0.35,Acute Data Alignment Programme (ADAPt) - Piloting private healthcare data in NHS Digital Date Published: 28 November 2022 Current Chapter Acute Data Alignment Programme (ADAPt) - Piloting private healthcare data in NHS Digital View all Next Chapter Executive summary Introduction This is the final re,Acute Data Alignment Programme (ADAPt) The Acute Data Alignment Programme (ADAPt) is a joint programme between NHS Digital and the Private Healthcare Information Network (PHIN) which is looking to adopt common standards for data collections and performance measures across both the NHS and private he,,
page_0429,page_0430,Acute Data Alignment Programme (ADAPt) - NHS Digital,Acute Data Alignment Programme (ADAPt) - Piloting private healthcare data in NHS Digital - NHS Digital,CONFLICT,0.9135,0.35,Acute Data Alignment Programme (ADAPt) The Acute Data Alignment Programme (ADAPt) is a joint programme between NHS Digital and the Private Healthcare Information Network (PHIN) which is looking to adopt common standards for data collections and performance measures across both the NHS and private he,Acute Data Alignment Programme (ADAPt) - Piloting private healthcare data in NHS Digital Date Published: 28 November 2022 Current Chapter Acute Data Alignment Programme (ADAPt) - Piloting private healthcare data in NHS Digital View all Next Chapter Executive summary Introduction This is the final re,,
page_0248,page_0259,COVID-19 at-risk patients Data Provision Notices - NHS Digital,COVID-19 at-risk patients Data Provision Notices - NHS Digital,CONFLICT,1.0,0.322,"COVID-19 at-risk patients Data Provision Notices To support the collection of data to identify patients who may be clinically extremely vulnerable if they contract COVID-19, to cover general practice and the criminal justice estate. The data collected will be analysed and linked with other data NHS ","COVID-19 at-risk patients Data Provision Notices To support the collection of data to identify patients who may be clinically extremely vulnerable if they contract COVID-19, to cover general practice and the criminal justice estate. The data collected will be analysed and linked with other data NHS ",,
page_0249,page_0259,COVID-19 at-risk patients Data Provision Notices - NHS Digital,COVID-19 at-risk patients Data Provision Notices - NHS Digital,CONFLICT,1.0,0.322,"COVID-19 at-risk patients Data Provision Notices To support the collection of data to identify patients who may be clinically extremely vulnerable if they contract COVID-19, to cover general practice and the criminal justice estate. The data collected will be analysed and linked with other data NHS ","COVID-19 at-risk patients Data Provision Notices To support the collection of data to identify patients who may be clinically extremely vulnerable if they contract COVID-19, to cover general practice and the criminal justice estate. The data collected will be analysed and linked with other data NHS ",,
page_0129,page_0132,Home - NHS Digital,Home - NHS Digital,CONFLICT,0.9621,0.322,"Data and technology that improves lives We support NHS staff at work, help people get the best care, and use the nation's health data to drive research and transform services. Keeping patient data safe NHS Digital collects data from GP practices to help support care and research. Find out about our ","Data and technology that improves lives We support NHS staff at work, help people get the best care, and use the nation's health data to drive research and transform services. Keeping patient data safe NHS Digital collects data from GP practices to help support care and research. Find out about our ",,
page_0133,page_0139,Home - NHS Digital,Home - NHS Digital,CONFLICT,0.9621,0.322,"Data and technology that improves lives We support NHS staff at work, help people get the best care, and use the nation's health data to drive research and transform services. Keeping patient data safe NHS Digital collects data from GP practices to help support care and research. Find out about our ","Data and technology that improves lives We support NHS staff at work, help people get the best care, and use the nation's health data to drive research and transform services. Keeping patient data safe NHS Digital collects data from GP practices to help support care and research. Find out about our ",,
page_0234,page_0236,GPES Cardiovascular Disease Prevention Audit - NHS Digital,GPES Cardiovascular Disease Prevention Audit - NHS Digital,CONFLICT,0.9994,0.314,GPES Cardiovascular Disease Prevention Audit Data Provision Notice to require the submission of general practice data in connection with the national Cardiovascular Disease Prevention Audit (CVDPREVENT Audit). Page contents Overview NHS England has directed NHS Digital to collect and analyse data in,GPES Cardiovascular Disease Prevention Audit Data Provision Notice to require the submission of general practice data in connection with the national Cardiovascular Disease Prevention Audit (CVDPREVENT Audit). Page contents Overview NHS England has directed NHS Digital to collect and analyse data in,,
page_0234,page_0235,GPES Cardiovascular Disease Prevention Audit - NHS Digital,GPES Cardiovascular Disease Prevention Audit - NHS Digital,CONFLICT,0.9994,0.308,GPES Cardiovascular Disease Prevention Audit Data Provision Notice to require the submission of general practice data in connection with the national Cardiovascular Disease Prevention Audit (CVDPREVENT Audit). Page contents Overview NHS England has directed NHS Digital to collect and analyse data in,GPES Cardiovascular Disease Prevention Audit Data Provision Notice to require the submission of general practice data in connection with the national Cardiovascular Disease Prevention Audit (CVDPREVENT Audit). Page contents Overview NHS England has directed NHS Digital to collect and analyse data in,,
page_0233,page_0242,GPES Cardiovascular Disease Prevention Audit - NHS Digital,GPES Cardiovascular Disease Prevention Audit - NHS Digital,CONFLICT,0.9994,0.308,GPES Cardiovascular Disease Prevention Audit Data Provision Notice to require the submission of general practice data in connection with the national Cardiovascular Disease Prevention Audit (CVDPREVENT Audit). Page contents Overview NHS England has directed NHS Digital to collect and analyse data in,GPES Cardiovascular Disease Prevention Audit Data Provision Notice to require the submission of general practice data in connection with the national Cardiovascular Disease Prevention Audit (CVDPREVENT Audit). Page contents Overview NHS England has directed NHS Digital to collect and analyse data in,,
page_0228,page_0229,Breast and cosmetic implant registry (NHS and private providers) Data Provision Notice - NHS Digital,Breast and Cosmetic Implant Registry for Northern Ireland - NHS Digital,CONFLICT,0.9526,0.308,Breast and cosmetic implant registry (NHS and private providers) Data Provision Notice Data Provision Notice for breast and cosmetic implant registry (NHS providers) and breast and implant cosmetic registry (private providers). Page contents Overview NHS Digital has developed a Breast and Cosmetic I,"Breast and Cosmetic Implant Registry for Northern Ireland Data Provision Notice to provide NHS Digital with data relating to breast implant procedures completed by both NHS and private healthcare providers in Northern Ireland, to include in the Breast and Cosmetic Implant Registry. Page contents Ove",,
page_0120,page_0143,Home - NHS Digital,Home - NHS Digital,CONFLICT,0.9629,0.306,"Data and technology that improves lives We support NHS staff at work, help people get the best care, and use the nation's health data to drive research and transform services. Keeping patient data safe NHS Digital collects data from GP practices to help support care and research. Find out about our ","Data and technology that improves lives We support NHS staff at work, help people get the best care, and use the nation's health data to drive research and transform services. Keeping patient data safe NHS Digital collects data from GP practices to help support care and research. Find out about our ",,
page_0137,page_0138,Home - NHS Digital,Home - NHS Digital,CONFLICT,0.9621,0.306,"Data and technology that improves lives We support NHS staff at work, help people get the best care, and use the nation's health data to drive research and transform services. Keeping patient data safe NHS Digital collects data from GP practices to help support care and research. Find out about our ","Data and technology that improves lives We support NHS staff at work, help people get the best care, and use the nation's health data to drive research and transform services. Keeping patient data safe NHS Digital collects data from GP practices to help support care and research. Find out about our ",,
page_0120,page_0124,Home - NHS Digital,Home - NHS Digital,CONFLICT,0.9539,0.306,"Data and technology that improves lives We support NHS staff at work, help people get the best care, and use the nation's health data to drive research and transform services. Keeping patient data safe NHS Digital collects data from GP practices to help support care and research. Find out about our ","Data and technology that improves lives We support NHS staff at work, help people get the best care, and use the nation's health data to drive research and transform services. Keeping patient data safe NHS Digital collects data from GP practices to help support care and research. Find out about our ",,
page_0124,page_0125,Home - NHS Digital,Home - NHS Digital,CONFLICT,1.0,0.3,"Data and technology that improves lives We support NHS staff at work, help people get the best care, and use the nation's health data to drive research and transform services. Keeping patient data safe NHS Digital collects data from GP practices to help support care and research. Find out about our ","Data and technology that improves lives We support NHS staff at work, help people get the best care, and use the nation's health data to drive research and transform services. Keeping patient data safe NHS Digital collects data from GP practices to help support care and research. Find out about our ",,
page_0133,page_0135,Home - NHS Digital,Home - NHS Digital,CONFLICT,1.0,0.3,"Data and technology that improves lives We support NHS staff at work, help people get the best care, and use the nation's health data to drive research and transform services. Keeping patient data safe NHS Digital collects data from GP practices to help support care and research. Find out about our ","Data and technology that improves lives We support NHS staff at work, help people get the best care, and use the nation's health data to drive research and transform services. Keeping patient data safe NHS Digital collects data from GP practices to help support care and research. Find out about our ",,
page_0135,page_0143,Home - NHS Digital,Home - NHS Digital,CONFLICT,1.0,0.3,"Data and technology that improves lives We support NHS staff at work, help people get the best care, and use the nation's health data to drive research and transform services. Keeping patient data safe NHS Digital collects data from GP practices to help support care and research. Find out about our ","Data and technology that improves lives We support NHS staff at work, help people get the best care, and use the nation's health data to drive research and transform services. Keeping patient data safe NHS Digital collects data from GP practices to help support care and research. Find out about our ",,
page_0255,page_0260,COVID-19 At Risk Patients - NHS Digital,COVID-19 At Risk Patients - NHS Digital,CONFLICT,1.0,0.3,"COVID-19 At Risk Patients Data Provision Notices to require the submission of data to help identify patients who may be more at risk if they contract COVID-19, to cover general practice and the detained estate. Page contents Overview The Department of Health and Social Care has directed NHS Digital ","COVID-19 At Risk Patients Data Provision Notices to require the submission of data to help identify patients who may be more at risk if they contract COVID-19, to cover general practice and the detained estate. Page contents Overview The Department of Health and Social Care has directed NHS Digital ",,
page_0373,page_0376,NHS Commissioning Board Authority at the NHS Confederation Annual Conference | NHS England,NHS England » NHS Commissioning Board Authority at the NHS Confederation Annual Conference,CONFLICT,0.9986,0.3,"The Secretary of State for Health, Andrew Lansley with Jane Cummings, Chief Nursing Officer on our stand The NHS CBA are at the NHS Confederation annual conference and exhibition this week. If you’re visiting the conference, please come along and see us on stand D32, where we’ll be running regular e","The Secretary of State for Health, Andrew Lansley with Jane Cummings, Chief Nursing Officer on our stand The NHS CBA are at the NHS Confederation annual conference and exhibition this week. If you’re visiting the conference, please come along and see us on stand D32, where we’ll be running regular e",,
page_0124,page_0131,Home - NHS Digital,Home - NHS Digital,CONFLICT,0.9937,0.3,"Data and technology that improves lives We support NHS staff at work, help people get the best care, and use the nation's health data to drive research and transform services. Keeping patient data safe NHS Digital collects data from GP practices to help support care and research. Find out about our ","Data and technology that improves lives We support NHS staff at work, help people get the best care, and use the nation's health data to drive research and transform services. Keeping patient data safe NHS Digital collects data from GP practices to help support care and research. Find out about our ",,
page_0131,page_0133,Home - NHS Digital,Home - NHS Digital,CONFLICT,0.9903,0.3,"Data and technology that improves lives We support NHS staff at work, help people get the best care, and use the nation's health data to drive research and transform services. Keeping patient data safe NHS Digital collects data from GP practices to help support care and research. Find out about our ","Data and technology that improves lives We support NHS staff at work, help people get the best care, and use the nation's health data to drive research and transform services. Keeping patient data safe NHS Digital collects data from GP practices to help support care and research. Find out about our ",,
page_0131,page_0143,Home - NHS Digital,Home - NHS Digital,CONFLICT,0.9903,0.3,"Data and technology that improves lives We support NHS staff at work, help people get the best care, and use the nation's health data to drive research and transform services. Keeping patient data safe NHS Digital collects data from GP practices to help support care and research. Find out about our ","Data and technology that improves lives We support NHS staff at work, help people get the best care, and use the nation's health data to drive research and transform services. Keeping patient data safe NHS Digital collects data from GP practices to help support care and research. Find out about our ",,
page_0124,page_0135,Home - NHS Digital,Home - NHS Digital,CONFLICT,0.9844,0.3,"Data and technology that improves lives We support NHS staff at work, help people get the best care, and use the nation's health data to drive research and transform services. Keeping patient data safe NHS Digital collects data from GP practices to help support care and research. Find out about our ","Data and technology that improves lives We support NHS staff at work, help people get the best care, and use the nation's health data to drive research and transform services. Keeping patient data safe NHS Digital collects data from GP practices to help support care and research. Find out about our ",,
page_0125,page_0133,Home - NHS Digital,Home - NHS Digital,CONFLICT,0.9844,0.3,"Data and technology that improves lives We support NHS staff at work, help people get the best care, and use the nation's health data to drive research and transform services. Keeping patient data safe NHS Digital collects data from GP practices to help support care and research. Find out about our ","Data and technology that improves lives We support NHS staff at work, help people get the best care, and use the nation's health data to drive research and transform services. Keeping patient data safe NHS Digital collects data from GP practices to help support care and research. Find out about our ",,
page_0125,page_0143,Home - NHS Digital,Home - NHS Digital,CONFLICT,0.9844,0.3,"Data and technology that improves lives We support NHS staff at work, help people get the best care, and use the nation's health data to drive research and transform services. Keeping patient data safe NHS Digital collects data from GP practices to help support care and research. Find out about our ","Data and technology that improves lives We support NHS staff at work, help people get the best care, and use the nation's health data to drive research and transform services. Keeping patient data safe NHS Digital collects data from GP practices to help support care and research. Find out about our ",,
page_0121,page_0133,Home - NHS Digital,Home - NHS Digital,CONFLICT,0.9585,0.3,"Data and technology that improves lives We support NHS staff at work, help people get the best care, and use the nation's health data to drive research and transform services. Keeping patient data safe NHS Digital collects data from GP practices to help support care and research. Find out about our ","Data and technology that improves lives We support NHS staff at work, help people get the best care, and use the nation's health data to drive research and transform services. Keeping patient data safe NHS Digital collects data from GP practices to help support care and research. Find out about our ",,
page_0121,page_0143,Home - NHS Digital,Home - NHS Digital,CONFLICT,0.9585,0.3,"Data and technology that improves lives We support NHS staff at work, help people get the best care, and use the nation's health data to drive research and transform services. Keeping patient data safe NHS Digital collects data from GP practices to help support care and research. Find out about our ","Data and technology that improves lives We support NHS staff at work, help people get the best care, and use the nation's health data to drive research and transform services. Keeping patient data safe NHS Digital collects data from GP practices to help support care and research. Find out about our ",,
page_0121,page_0124,Home - NHS Digital,Home - NHS Digital,CONFLICT,0.9518,0.3,"Data and technology that improves lives We support NHS staff at work, help people get the best care, and use the nation's health data to drive research and transform services. Keeping patient data safe NHS Digital collects data from GP practices to help support care and research. Find out about our ","Data and technology that improves lives We support NHS staff at work, help people get the best care, and use the nation's health data to drive research and transform services. Keeping patient data safe NHS Digital collects data from GP practices to help support care and research. Find out about our ",,
page_0234,page_0243,GPES Cardiovascular Disease Prevention Audit - NHS Digital,GPES Cardiovascular Disease Prevention Audit - NHS Digital,CONFLICT,1.0,0.293,GPES Cardiovascular Disease Prevention Audit Data Provision Notice to require the submission of general practice data in connection with the national Cardiovascular Disease Prevention Audit (CVDPREVENT Audit). Page contents Overview NHS England has directed NHS Digital to collect and analyse data in,GPES Cardiovascular Disease Prevention Audit Data Provision Notice to require the submission of general practice data in connection with the national Cardiovascular Disease Prevention Audit (CVDPREVENT Audit). Page contents Overview NHS England has directed NHS Digital to collect and analyse data in,,
page_0247,page_0248,COVID-19 at-risk patients Data Provision Notices - NHS Digital,COVID-19 at-risk patients Data Provision Notices - NHS Digital,CONFLICT,1.0,0.293,"COVID-19 at-risk patients Data Provision Notices To support the collection of data to identify patients who may be clinically extremely vulnerable if they contract COVID-19, to cover general practice and the criminal justice estate. The data collected will be analysed and linked with other data NHS ","COVID-19 at-risk patients Data Provision Notices To support the collection of data to identify patients who may be clinically extremely vulnerable if they contract COVID-19, to cover general practice and the criminal justice estate. The data collected will be analysed and linked with other data NHS ",,
