page_id,title,gemini_classification,coherence_score,kg_matched_categories,kg_matched_entities,content_excerpt,correct,notes
page_0167,Industry placements - NHS Digital,Digital skills,0.861,Publication type; Clinical discipline; Topic; Tags; Event type; National priorities; Region; Profession,development; nhs digital academy; professional; undergraduate; industry; quality; inter; practitioners; social; data,"Industry placements Industry placements form part of a student's degree course and involve working in a role related to their degree subject for 12 months. Industry placements are more common in degree areas such as engineering, applied sciences and technology. Page contents Overview of the year in industry scheme Our industry placements are a chance for degree-level students to get in-depth experience and a chance to complete a larger project to support their degree course. You’ll join a team i",,
page_0172,Working at NHS Digital - NHS Digital,NHS Screening Services,1.0,Recruitment format; Tags; National priorities,digital; nhs digital academy; professional; value; professional networks; na; professionals; profession,"Working at NHS Digital Join our team and use your skills to help the transformation of health and care. NHS Digital aims to be a great place to work, with a great range of benefits. Page contents Our values NHS Digital strives to work by our values. This makes sure that we deliver the best results for health and social care. Professional We deliver on our commitments by applying the highest levels of expertise, conduct and personal responsibility. People focused We value and promote positive rel",,
page_0187,Freedom of information request NIC-400264-V1N9N - NHS Digital,NHS Screening Services,0.702,Publication type; Clinical discipline; Topic; Tags; National priorities; Region; Profession,data; digital; databases; east; nhs digital academy; patient information; professions; value; information; dental,"Freedom of information request NIC-400264-V1N9N Freedom of information request for data on COVID-19 testing in Calderdale area. Page contents "" The number of tests conducted for residents of Calderdale, sorted by date; The number of tests in 1) that returned a positive result, sorted by date; The number of tests in 1) that returned a negative result, sorted by date; Details of how the test works, such as how samples are taken, what the samples are tested for, how they are tested, and whether the",,
page_0219,Directions and Data Provision Notices - NHS Digital,NHS Screening Services,0.957,Publication type; Clinical discipline; Topic; Recruitment format; Tags; National priorities; Region; Profession,optimisation; healthcare; health literacy; nhs digital academy; practitioners; inter; cancer; social; business; foundation,"Directions and Data Provision Notices The health secretary and other parts of the health service can ask us to collect information on specific topics so that they can improve patient care. internal Data Provision Notices (DPNs) When we receive a Direction to collect information, we issue a Data Provision Notice. It provides details about the data collection and information if organisations need to take any action. internal Mandatory requests from NHS Improvement The Health and Social Care Act se",,
page_0226,Assuring Transformation - NHS Digital,NHS Screening Services,1.0,Publication type; National priorities; Tags; Region,autism; community; east of england; patient; services; inter; review; service; framework; disability,"Assuring Transformation Data Provision Notice to require the submission of data from all NHS commissioners of learning disability services so that progress towards community service provision, away from inpatient settings, is monitored. Page contents Overview NHS England has directed NHS Digital to establish a data collection to monitor patients with a diagnosed learning disability and/or autism spectrum disorder in an inpatient hospital setting. This is in response to the review of events at Wi",,
page_0246,Cloud-based telephony - NHS England Digital,NHS Screening Services,1.0,Publication type; Clinical discipline; Tags; National priorities; Region,data; general practice; east of england; general; base; practice; consultation; england,Cloud-based telephony Data Provision Notice to require the submission of cloud-based telephony data from general practices in England. Page contents Overview With the implementation of Modern General Practice Access there is an opportunity to generate and understand a more accurate picture of telephony demand on general practice. A new Cloud-Based Telephony Data Collection will be used for operational purposes nationally and shared with integrated care boards (ICBs) at regular intervals to infor,,
page_0262,COVID-19 Unpaid Carers Data - NHS Digital,NHS Screening Services,0.9,Training type; Publication type; Clinical discipline; Recruitment format; Tags; Region; National priorities,foundation; data; programme; formal training; national; digital; east of england; information; na; covid,"COVID-19 Unpaid Carers Data Data Provision Notices to provide NHS Digital with information about unpaid carers from the Department for Work and Pensions and Local Authorities, to assist with the identification of those members of the public who may be eligible for priority COVID-19 vaccinations. Page contents Overview The Data Provision Notices published on this page are to support the national COVID-19 Vaccination Programme which NHS England has been commissioned by the Secretary of State for H",,
page_0263,COVID-19 Vaccine Data - NHS Digital,NHS Screening Services,1.0,Training type; Publication type; Recruitment format; Tags; National priorities; Region,data; programme; digital; na; service; social; care; covid; social care; health,"COVID-19 Vaccine Data Data Provision Notice to allow NHS Digital to act as joint data controller, with NHS England, in respect of COVID-19 vaccination status and vaccination adverse reaction data, submitted through the COVID-19 Vaccination Programme. Page contents Overview As part of the response to the COVID-19 pandemic, NHS England has been commissioned by the Secretary of State for Health and Social Care to operate the COVID-19 Vaccination Programme. As part of the Programme, NHS Digital acts",,
page_0266,The COVID RT Study - NHS England Digital,NHS Screening Services,0.9,Publication type; Clinical discipline; Topic; Recruitment format; Tags; National priorities; Region,data; clinical; national; databases; england; services; dental; na; cancer; service,The COVID RT Study Data Provision Notice to require the submission of data from those providers of NHS radiotherapy treatment services in England that have agreed to participate in the COVID RT Study. Data will be used to understand the impact of COVID-19. Page contents Overview This Notice is to require the submission of data which will be used to understand the impact of COVID-19 on both radiotherapy patients and radiotherapy service providers. The data collected will be used within a national,,
page_0267,CP-IS extract to NHS England for Coronavirus (COVID-19) child health safeguarding actions - NHS Digital,Children and young people,0.7,Clinical discipline; Recruitment format; Tags; Region; National priorities,na; stem; covid; health; england,CP-IS extract to NHS England for Coronavirus (COVID-19) child health safeguarding actions Data Provision Notice for the collection of information from the Child Protection - Information Sharing (CP-IS) system extract to NHS England for Coronavirus (COVID-19) child health safeguarding actions Page contents Overview The benefits of this collection are: provides school nurses and health visitors with a reliable source of information on who vulnerable children are in circumstances where the capacity,,
page_0275,General Practice Data for Planning and Research - NHS Digital,NHS Screening Services,1.0,Publication type; Clinical discipline; Topic; Tags; National priorities,data; digital; general practice; planning; general; best practice; nhs digital academy; social; care; practice,"General Practice Data for Planning and Research Data Provision Notice to underpin the extraction of General Practice data, for health and social care purposes including planning, policy development, public health, commissioning and research. Page contents Overview NHS Digital currently fulfils its statutory duties to collect secondary uses data from general practices through the General Practice Extraction Service (GPES) . In 2014, a National Audit Office (NAO) review of GPES found that the serv",,
page_0291,Testing out technology | Health Education England,Health academia,0.762,Training type; Publication type; Career stage; Topic; Tags; Event type; National priorities; Profession,needs; team; workshop; experience; medical; planning; training; leader; plan,"I happened to be in Manchester again last week – and the sun was shining this time! I was at the Faculty of Medical Leadership and Management conference running two workshops with the team. We had great feedback around the barriers to making Temple a success, and there were ideas generated around engaging trainees and medical leaders in what needed to be done including rota redesign, consultant team job planning and seeking active board engagement – including having a Non Executive Director that",,
page_0300,"Health Education England » Statement from Lisa Bayliss-Pratt, Director of Nursing",Health academia,0.778,Training type; Delivery method; Publication type; Topic; Tags; National priorities; Region; Profession,improvement; report; healthcare; informaticians; collaboration; skills; information; nurses; physical; health,"22 April 2013 - 11:57 We are disappointed that the RCN chose to use the word ‘stupid’ about one of the Francis Report recommendations to support better care in the NHS. Francis recommendation 187 said: ‘There should be a national entry-level requirement that student nurses spend a minimum period of time, at least three months, working on the direct care of patients under the supervision of a registered nurse. Such experience should include direct care of patients, ideally including the elderly,",,
page_0325,Health Education England » HEE Chief Executive on Francis Response,Health academia,0.76,Region; Profession; National priorities,health; nurses; management professionals; england,"19 November 2013 - 14:26 I warmly welcome the Government response and I am pleased that Health Education England will be at the forefront of work to implement many of these recommendations. I am immensely proud of all the work that HEE has already done this year. Today’s recommendations provide us with a platform to take this even further over the coming months and years. Although only established earlier this year, we have shown the immediate effect we can have while we also look a long way ahe",,
page_0355,Business plan published | NHS England,Medicines optimisation,0.7,Publication type; Career stage,framework; board; business; business plan; plan,"The NHS Commissioning Board Authority has today published its business plan covering the period from April 2012 until October 2012. Sir David Nicholson, Chief Executive, NHS Commissioning Board Authority said: “The overall aim of the NHS Commissioning Board Authority is to lay the strong foundations for the successful establishment and operation of the NHS Commissioning Board and the new clinical commissioning system for the NHS to deliver real improvements for our patients. “Our business plan s",,
page_0366,NHS England » Knowledge of best practice in safeguarding the interests of vulnerable children and adults,Children and young people,0.881,Publication type; Career stage; Topic; Tags; National priorities; Profession,policy; guidance; team; statement; mental; inter; children; reproductive; health; leader,"11 June 2012 - 08:08 These products will be of help to individual leaders and extended teams : Working Together to Safeguard Children: A guide to inter-agency working A guide to inter-agency working, March 2012 Statutory guidance on making arrangements to safeguard and promote the welfare of children Statutory guidance under section 11 of the Children Act, Mar 2007 (under revision with Working Together to Safeguard Children). Statutory Guidance on Promoting the Health and Well-being of Looked Af",,
page_0404,NHS England » 2. Continue to lead the NHS in responding to COVID-19 ever more effectively,NHS Screening Services,0.7,Recruitment format; National priorities; Region,na; term; national,"Our focus in 2022/23 will be reducing the impact of COVID-19 on wider health and care services to allow the NHS to continue to focus on service delivery and system transformation. At the same time, the NHS will need to remain prepared in case of future waves of the pandemic. Our commitments for 2022/23 Develop a steady-state approach to COVID-19 vaccination that interfaces with other routine immunisations and supports the highest possible uptake across communities and the continued reduction in",,
page_0456,The birth notification process - NHS Digital,NHS Screening Services,0.7,Region; National priorities,health; east,Part of Birth Notification Application guide for child health The birth notification process This is part 4 of the Birth Notification Application (BNA) guide for child health. Previous Chapter Allocate or notify Current Chapter Current chapter – The birth notification process View all Next Chapter Listing and viewing birth notifications Page contents Summary This is part 4 of the Birth Notification Application (BNA) guide for child health. Step 1 – Find the Mother It is very important that you a,,
page_0467,Information governance - NHS England Digital,NHS Screening Services,0.969,Publication type; Clinical discipline; Recruitment format; Tags; National priorities,data; digital; systems; healthcare; personalised care; patient; best practice; personalised; standard; placements,Information governance This page outlines BaRS information governance policy and the detail of the BaRS privacy notice. Page contents Information governance An NHS England Direction to enable NHS Digital to develop an interoperability standard for patient record systems and a related API (Booking and Referral Standard Service) has been published for the BaRS programme. A record has also be added to the NHS Digital GDPR Register . BaRS Privacy Notice - A note for healthcare providers Healthcare p,,
page_0471,Supplier status: Ambulance service referral (including validation) - NHS Digital,NHS Screening Services,1.0,Profession; Tags; Recruitment format,development; ambulance service team; standard; ambulance; service; board development,"Supplier status: Ambulance service referral (including validation) See which IT system suppliers currently offer the Booking and Referral Standard (BaRS) for referrals including for validation into ambulance services. For those still implementing the Standard in their systems you can see the status of their implementation. Page contents As a care provider, you may be interested to see whether your current IT system supplier is working towards offering this capability. Alternatively, you may want",,
