page_id,title,triple_count,entity_count,coherence_score,routing,matched_categories
page_0070,"NHS England » Knowledge of the issues involved in partnering with officers and members in local government, and in giving public account for CCG decisions. Understanding of the importance of effective relationships. Skills in presenting plans to a public committee",3,5,0.88,COHERENT,Region; Topic; National priorities; Publication type; Tags; Recruitment format
page_0071,NHS England » Skills and behaviours to plan and implement successful and sustainable change,3,6,1.0,COHERENT,Career stage; Event type; Topic; National priorities; Publication type; Tags; Profession; Recruitment format
page_0073,"Bulletin for proposed CCGs – Issue 15, 14 June 2012 | NHS England",3,6,0.6,AMBIGUOUS,Publication type; Topic
page_0074,Next stop Stockholm … – Johnny Marshall | NHS England,3,4,0.55,AMBIGUOUS,National priorities
page_0075,Single Operating Model for Commissioning Primary Care | NHS England,2,4,1.0,COHERENT,Clinical discipline; Region; Career stage; Topic; Tags; Profession; National priorities
page_0076,Who’s inside the tent? – Johnny Marshall | NHS England,3,5,0.52,AMBIGUOUS,Region; Clinical discipline; Profession; National priorities
page_0077,NHS England » Choice and Competition Framework,3,5,0.836,COHERENT,Clinical discipline; Career stage; Publication type; Tags; Profession; National priorities
page_0079,NHS England » Single Operating Model for Commissioning Primary Care,3,6,0.9,COHERENT,Clinical discipline; Tags; Career stage; Topic
page_0080,Full set of first wave authorisation applications received on time  | NHS England,3,6,0.6,AMBIGUOUS,Region; Tags; Career stage; Recruitment format
page_0081,Our NHS care objectives: a draft mandate to the NHS Commissioning Board | NHS England,3,6,0.9,COHERENT,Region; Career stage; National priorities
page_0082,"Bulletin for proposed CCGs – Issue 16, 4 July 2012 | NHS England",3,4,0.55,AMBIGUOUS,News type
page_0083,CCG clinical leaders invited to join new commissioning assembly | NHS England,3,6,0.9,COHERENT,Training type; Career stage; Topic; Tags; Profession
page_0084,Your chance to work with the NHS to help challenge and shape the health system of the future | NHS England,3,5,0.712,COHERENT,Tags; Career stage; National priorities
page_0085,The Matrix – Johnny Marshall | NHS England,2,4,0.85,COHERENT,Topic; National priorities; Publication type; Tags; Recruitment format
page_0086,NHS Commissioning Board Authority recruits Very Senior Managers (VSM) | NHS England,3,6,0.8,COHERENT,Clinical discipline; Career stage; Topic; Publication type; Tags; Recruitment format
page_0088,Board Authority appoints first CSS managing directors and announces decision to host | NHS England,3,5,0.52,AMBIGUOUS,Career stage
page_0091,Moving on at pace – Barbara Hakin | NHS England,3,5,0.592,AMBIGUOUS,Tags; Recruitment format
page_0092,Jaws in Space – Johnny Marshall | NHS England,2,3,0.6,AMBIGUOUS,National priorities
page_0093,Appointment of the first local area team directors | NHS England,6,12,0.7,COHERENT,Region; Career stage; National priorities
page_0094,Operations directorate: key directors appointed | NHS England,3,4,0.645,AMBIGUOUS,Publication type; Career stage
page_0095,The Local Health Resilience Partnerships: Implementation information and joint resource pack | NHS England,3,6,0.8,COHERENT,Clinical discipline; Topic; Publication type; Tags; National priorities
page_0096,Our commitment to improve – Jane Cummings | NHS England,3,5,0.88,COHERENT,Region; Tags; Profession; National priorities
page_0097,NHS England » Board meeting – 19 July 2012,3,6,0.9,COHERENT,Publication type; Event type; Career stage; National priorities
page_0099,NHS England » CCG clinical leaders invited to join new commissioning assembly,3,6,0.9,COHERENT,Tags; Topic; Training type; Career stage
page_0100,NHS England » Board Authority appoints first CSS managing directors and announces decision to host,3,2,0.7,COHERENT,Career stage
page_0101,NHS England » Operations directorate: key directors appointed,3,6,0.764,COHERENT,Clinical discipline; Region; Career stage; Topic; Publication type; Recruitment format
page_0102,NHS England » Full set of first wave authorisation applications received on time,3,4,0.55,AMBIGUOUS,Career stage
page_0104,NHS England » The Local Health Resilience Partnerships: Implementation information and joint resource pack,3,5,0.88,COHERENT,Clinical discipline; Tags; National priorities
page_0105,NHS England » The Local Health Resilience Partnerships: Implementation information and joint resource pack,2,4,0.85,COHERENT,Clinical discipline; Tags; National priorities
page_0106,NHS England » Proposals for authorisation conditions and support published,3,6,0.764,COHERENT,Publication type; National priorities; Event type; Recruitment format
page_0108,NHS England » NHS Commissioning Board Authority recruits Very Senior Managers (VSM),4,8,0.775,COHERENT,Clinical discipline; Career stage; Topic; Publication type; Tags; Recruitment format; National priorities
page_0109,NICE reveals its recommended measures for the NHS Commissioning Outcomes Framework | NHS England,3,6,0.9,COHERENT,Career stage; Topic; Publication type; Tags; National priorities
page_0111,Insights from scenario workshop published | NHS England,3,6,0.6,AMBIGUOUS,Region; Career stage; Publication type; Tags; Recruitment format
page_0113,Board Authority provides more detail on commissioning support hosting and governance | NHS England,3,6,0.6,AMBIGUOUS,Region; Career stage; Recruitment format
page_0114,A new relationship between citizens and the NHS begins … – Roz Davies | NHS England,2,3,0.8,COHERENT,Tags; Topic; Career stage
page_0116,"Bulletin for proposed CCGs – Issue 19, 24 August 2012 | NHS England",3,4,0.65,AMBIGUOUS,Training type; Topic; Profession; News type
page_0117,"Citius, Altius, Fortius – Johnny Marshall | NHS England",3,5,0.76,COHERENT,Region; Tags; Profession; Recruitment format
page_0118,Introducing the NHS.UK Alpha | NHS.UK Alpha,3,6,0.6,AMBIGUOUS,Tags; Career stage; National priorities
page_0119,NHS.UK: tackling the big questions | NHS.UK Alpha,3,6,0.7,COHERENT,Publication type; Tags; Profession; National priorities
page_0120,Home - NHS Digital,3,6,1.0,COHERENT,Tags; Clinical discipline; Profession; National priorities
page_0121,Home - NHS Digital,3,5,0.76,COHERENT,Tags; Clinical discipline; Profession; National priorities
page_0123,Home - NHS Digital,3,3,0.8,COHERENT,Publication type; Tags; Clinical discipline; National priorities
page_0124,Home - NHS Digital,3,5,0.72,COHERENT,Clinical discipline; Tags; Profession; National priorities
page_0125,Home - NHS Digital,3,5,0.76,COHERENT,Tags; Clinical discipline; Profession; National priorities
page_0126,Home - NHS England Digital,3,6,1.0,COHERENT,Publication type; Tags; Career stage; National priorities
page_0127,Home - NHS Digital,3,5,0.347,CONFLICT,Clinical discipline
page_0128,Home - NHS England Digital,3,4,0.7,COHERENT,Publication type; Tags; Career stage; National priorities
page_0129,Home - NHS Digital,3,5,0.76,COHERENT,Tags; Clinical discipline; Profession; National priorities
page_0131,Home - NHS Digital,3,5,0.76,COHERENT,Tags; Clinical discipline; Profession; National priorities
page_0132,Home - NHS Digital,3,6,0.8,COHERENT,Tags; Clinical discipline; Profession; National priorities
page_0133,Home - NHS Digital,3,5,0.88,COHERENT,Clinical discipline; Topic; Tags; Profession; National priorities
page_0134,Home - NHS Digital,1,2,0.7,COHERENT,Tags
page_0135,Home - NHS Digital,3,5,0.76,COHERENT,Tags; Clinical discipline; Profession; National priorities
page_0136,Home - NHS Digital,3,5,0.88,COHERENT,Tags; Clinical discipline; Profession; National priorities
page_0139,Home - NHS Digital,3,6,0.767,COHERENT,Clinical discipline; Tags; Profession; National priorities
page_0143,Home - NHS Digital,3,5,0.72,COHERENT,Clinical discipline; Tags; Profession; National priorities
page_0145,Accessibility - NHS Digital,3,4,0.809,COHERENT,Region; Tags; Career stage; National priorities
page_0147,GPES Data for Pandemic Planning and Research – Data Protection Impact Assessment PDF - disproportionate burden assessment - NHS Digital,3,5,1.0,COHERENT,Publication type; Tags; Topic; National priorities
page_0148,Historic PDF conversion: Disproportionate burden assessment - NHS Digital,4,6,0.828,COHERENT,Publication type; Tags; Career stage; National priorities
page_0149,Historical PDF conversion: Disproportionate burden assessment - NHS Digital,3,5,0.64,AMBIGUOUS,Publication type; Tags; Recruitment format; National priorities
page_0150,NHS App disproportionate burden assessment - NHS Digital,4,7,0.829,COHERENT,Publication type; Tags; Recruitment format; National priorities
page_0151,Breaking down barriers - women in IT - NHS Digital,3,5,0.76,COHERENT,Tags; Recruitment format
page_0153,Emma Summers - NHS Digital,3,5,0.64,AMBIGUOUS,Tags; Training type
page_0157,Sally Bogg - NHS Digital,3,3,0.6,AMBIGUOUS,Tags
page_0159,Using Facebook ads to increase referrals to psychological therapies in Essex - NHS Digital,3,4,0.7,COHERENT,Tags; Profession; National priorities
page_0161,Careers - NHS Digital,2,4,0.97,COHERENT,Tags; Profession; National priorities
page_0163,Shadow Me Programme - NHS Digital,3,4,1.0,COHERENT,Publication type; Tags; Training type
page_0164,About the Academy at NHS Digital - NHS Digital,3,4,0.85,COHERENT,Tags; Topic; Career stage
page_0165,Apprenticeship scheme - NHS Digital,3,6,0.849,COHERENT,Tags; Training type; National priorities
page_0166,Graduate scheme - NHS Digital,3,4,0.812,COHERENT,Tags; Training type
page_0168,Product and delivery management graduate scheme - NHS Digital,3,4,0.85,COHERENT,Tags; Recruitment format
page_0169,Summer internships - NHS Digital,3,4,0.7,COHERENT,Publication type; Tags
page_0170,Trainee stories - NHS Digital,3,5,0.64,AMBIGUOUS,Tags; Recruitment format; National priorities
page_0171,User centred design graduate scheme - NHS Digital,3,6,1.0,COHERENT,Publication type; Tags; Topic; National priorities
page_0172,Working at NHS Digital - NHS Digital,2,3,1.0,COHERENT,National priorities; Tags; Recruitment format
page_0173,Contact us - NHS Digital,3,6,0.9,COHERENT,Clinical discipline; Tags; Profession; National priorities
page_0174,Contact us - NHS Digital,3,5,0.88,COHERENT,Tags; Profession; National priorities
page_0177,Disclosure Log - NHS Digital,3,3,0.8,COHERENT,Tags; National priorities
page_0178,Freedom of information request NIC-563233-P5Y0W - NHS Digital,3,5,0.88,COHERENT,Region; Recruitment format; Topic; Publication type; Tags; Profession; National priorities
page_0179,Freedom of information request NIC-422731-F5H0J - NHS Digital,5,2,0.7,COHERENT,Tags
page_0180,Freedom of Information request NIC-690159-K8H4Z - NHS Digital,3,4,1.0,COHERENT,Publication type; Tags; Career stage
page_0183,Freedom of Information disclosure log March 2021 - NHS Digital,4,7,0.829,COHERENT,Region; Tags
page_0184,Freedom of information request NIC-440206-R0L0Q - NHS Digital,3,5,0.76,COHERENT,Publication type; Region; Tags; Recruitment format
page_0185,Freedom of information request NIC-440574-D9V9P - NHS Digital,3,6,0.7,COHERENT,Tags; Profession
page_0188,Freedom of Information disclosure log November 2020 - NHS Digital,3,4,0.85,COHERENT,Tags; National priorities
page_0189,Freedom of information request NIC-409137-W1S2H - NHS Digital,3,4,1.0,COHERENT,Tags; Profession; Career stage
page_0192,Cookies we use on our site - NHS Digital,3,5,0.76,COHERENT,Publication type; National priorities
page_0197,Annual inclusion report 2021-22 - NHS Digital,3,5,1.0,COHERENT,Publication type; Region; Tags; Profession
page_0199,Creating the best and most inclusive place to work - NHS England Digital,3,5,0.88,COHERENT,Tags
page_0201,Our pay gaps - NHS England Digital,3,6,0.7,COHERENT,Publication type; Recruitment format; Career stage; National priorities
page_0204,Workforce Disability Equality Standard (WDES) - NHS England Digital,4,7,0.743,COHERENT,Publication type; Tags; Recruitment format; National priorities
page_0206,A look at the diversity of our workforce today - NHS Digital,3,5,0.64,AMBIGUOUS,Publication type; Tags; National priorities
page_0208,Our workforce demographics 2018 - NHS Digital,3,6,0.9,COHERENT,Clinical discipline; Region; National priorities; Publication type; Tags; Recruitment format
page_0209,"Anti-fraud, bribery, and corruption - NHS Digital",3,5,0.88,COHERENT,Region; Tags; National priorities
page_0211,"Data we collect, analyse, publish and share - NHS Digital",3,5,0.88,COHERENT,Publication type; Tags; National priorities
page_0212,Digital inclusion for health and social care - NHS Digital,3,6,0.9,COHERENT,Region; Training type; Topic; Publication type; Tags; National priorities
page_0217,Who we can work with - NHS Digital,2,4,0.85,COHERENT,Clinical discipline; Tags; Topic; National priorities
page_0218,"Digital, research, informatics and virtual environments (DRIVE) partnership - NHS Digital",3,6,0.7,COHERENT,Delivery method; Training type; Publication type; Tags; National priorities
page_0220,Data Provision Notices (DPNs) - NHS Digital,3,6,0.7,COHERENT,Publication type; Tags; Recruitment format
page_0222,Adult Social Care Data Collections - NHS Digital,3,6,0.9,COHERENT,Region; Publication type; Tags; Recruitment format; National priorities
page_0223,Adult social care management system coronavirus (COVID-19) status collection - NHS Digital,3,6,1.0,COHERENT,Clinical discipline; Publication type; Tags; Recruitment format; National priorities
page_0224,Alcohol Dependence Programme Patient Level Data Collection - NHS England Digital,3,6,0.8,COHERENT,Topic; Publication type; Tags; Profession; National priorities
page_0225,Ambulance Data Set Pilot (ADS) Data Provision Notice - NHS Digital,3,6,1.0,COHERENT,Clinical discipline; Region; National priorities; Publication type; Tags; Profession; Recruitment format
page_0226,Assuring Transformation - NHS Digital,2,4,1.0,COHERENT,Publication type; Region; Tags; National priorities
page_0227,Board Vacancies and Commercial Spend - NHS Digital,3,4,1.0,COHERENT,Region; Career stage; Topic; Tags; Profession; National priorities
page_0228,Breast and cosmetic implant registry (NHS and private providers) Data Provision Notice - NHS Digital,3,5,1.0,COHERENT,Region; Topic; Publication type; Tags; National priorities
page_0229,Breast and Cosmetic Implant Registry for Northern Ireland - NHS Digital,2,3,1.0,COHERENT,Region; Topic; Publication type; Tags; National priorities
page_0230,Cancer Pathways Analysis - NHS Digital,3,5,0.88,COHERENT,Clinical discipline; Region; Training type; Publication type; Tags; Recruitment format; National priorities
page_0237,GPES Cardiovascular Disease Prevention Audit - NHS Digital,3,4,0.7,COHERENT,Publication type; Region; Tags; Recruitment format
page_0238,GPES Cardiovascular Disease Prevention Audit - NHS Digital,3,5,0.93,COHERENT,Region; National priorities; Publication type; Tags; Recruitment format
page_0239,GPES Cardiovascular Disease Prevention Audit - NHS Digital,3,5,0.93,COHERENT,Region; National priorities; Publication type; Tags; Recruitment format
page_0240,Cardiovascular Disease Prevention (CVDPREVENT) Audit - NHS England Digital,3,4,0.942,COHERENT,Publication type; Region; National priorities
page_0241,Cardiovascular Disease Prevention (CVDPREVENT) Audit - NHS England Digital,3,4,0.7,COHERENT,Publication type; National priorities
page_0244,Client-Level Adult Social Care Data (No. 2) - NHS Digital,3,6,1.0,COHERENT,Region; Topic; Publication type; Tags; Recruitment format; National priorities
page_0245,Cloud-based telephony - NHS England Digital,3,6,1.0,COHERENT,Clinical discipline; Region; Publication type; Tags; National priorities
page_0246,Cloud-based telephony - NHS England Digital,3,5,1.0,COHERENT,Clinical discipline; Region; Publication type; Tags; National priorities
page_0247,COVID-19 at-risk patients Data Provision Notices - NHS Digital,3,6,1.0,COHERENT,Region; Topic; Publication type; Tags; National priorities
page_0248,COVID-19 at-risk patients Data Provision Notices - NHS Digital,3,6,1.0,COHERENT,Clinical discipline; Region; Topic; National priorities; Tags; Recruitment format
page_0249,COVID-19 at-risk patients Data Provision Notices - NHS Digital,3,6,0.9,COHERENT,Tags; Topic; National priorities
page_0250,COVID-19 at-risk patients Data Provision Notices - NHS Digital,3,6,1.0,COHERENT,Topic; Publication type; Tags; Recruitment format; National priorities
page_0251,COVID-19 at-risk patients Data Provision Notices - NHS Digital,1,2,1.0,COHERENT,Tags; Topic
page_0252,COVID-19 at-risk patients Data Provision Notices - NHS Digital,3,6,0.9,COHERENT,Publication type; Tags; Topic; National priorities
page_0253,COVID-19 at-risk patients Data Provision Notices - NHS Digital,3,6,0.9,COHERENT,Publication type; Tags; Topic; National priorities
page_0254,COVID-19 At Risk Patients - NHS Digital,3,4,1.0,COHERENT,Publication type; Region; Tags; National priorities
page_0255,COVID-19 At Risk Patients - NHS Digital,3,4,1.0,COHERENT,Publication type; Region; Tags; National priorities
page_0258,COVID-19 At Risk Patients - NHS Digital,3,5,1.0,COHERENT,Region; Tags; National priorities
page_0259,COVID-19 at-risk patients Data Provision Notices - NHS Digital,3,5,1.0,COHERENT,Publication type; Tags; Topic; National priorities
page_0260,COVID-19 At Risk Patients - NHS Digital,3,6,1.0,COHERENT,Region; Tags; Recruitment format; National priorities
page_0261,COVID-19 Situation Reports - NHS Digital,3,6,0.9,COHERENT,Career stage; Topic; Publication type; Tags; National priorities
page_0262,COVID-19 Unpaid Carers Data - NHS Digital,3,6,0.9,COHERENT,Clinical discipline; Region; Training type; National priorities; Publication type; Tags; Recruitment format
page_0263,COVID-19 Vaccine Data - NHS Digital,3,5,1.0,COHERENT,Region; Training type; Publication type; Tags; Recruitment format; National priorities
page_0264,COVID-19 Vaccine Data transparency notice - NHS Digital,3,5,0.833,COHERENT,Publication type; Tags; Recruitment format
page_0267,CP-IS extract to NHS England for Coronavirus (COVID-19) child health safeguarding actions - NHS Digital,3,2,0.7,COHERENT,Clinical discipline; Region; Tags; Recruitment format; National priorities
page_0268,Data Services for Commissioners Data Provision Notice - NHS Digital,3,6,1.0,COHERENT,Training type; Topic; Publication type; Tags; National priorities
page_0270,Diabetes Transition and Young Adult Care Pilots – Evaluation - NHS England Digital,3,6,0.9,COHERENT,Tags; Clinical discipline; National priorities
page_0271,Electronic Prescribing and Medicines Administration (EPMA) Data - NHS Digital,3,2,1.0,COHERENT,Tags; Clinical discipline
page_0272,Hospital Electronic Prescribing and Medicines Administration (HEPMA) Data - Scotland - NHS Digital,3,5,1.0,COHERENT,Region; Career stage; National priorities; Publication type; Tags; Recruitment format
page_0274,General Practice and Primary Care Network Workforce - NHS Digital,2,3,1.0,COHERENT,Clinical discipline; Region; Publication type; Recruitment format; National priorities
page_0275,General Practice Data for Planning and Research - NHS Digital,3,5,1.0,COHERENT,Clinical discipline; Topic; Publication type; Tags; National priorities
page_0276,GP Appointments Data - NHS Digital,3,6,1.0,COHERENT,Publication type; Region; Tags; National priorities
page_0277,GP appointments data collection in support of winter pressures version 2: categorisation - NHS Digital,3,5,1.0,COHERENT,Clinical discipline; Region; National priorities; Publication type; Tags; Recruitment format
page_0279,GPES Data for Pandemic Planning and Research (COVID-19) - NHS Digital,3,5,0.76,COHERENT,Clinical discipline; Topic; Publication type; Tags; National priorities
page_0280,GPES Data for Pandemic Planning and Research (COVID-19) - NHS Digital,3,6,0.9,COHERENT,Clinical discipline; Training type; Career stage; Publication type; Tags; Profession; National priorities
page_0281,GPES Data for Pandemic Planning and Research (COVID-19) - NHS Digital,3,6,1.0,COHERENT,Publication type; Clinical discipline; Tags; National priorities
page_0282,GPES Data for Pandemic Planning and Research (COVID-19) - NHS Digital,3,5,0.76,COHERENT,Publication type; Tags; Clinical discipline; National priorities
page_0284,GPES Data for Pandemic Planning and Research (COVID-19) - NHS Digital,3,4,0.7,COHERENT,Publication type; Clinical discipline; Tags; National priorities
page_0285,"Health Education England | Excellence in education and training, quality in patient care",3,5,1.0,COHERENT,Clinical discipline; Region; Career stage; Topic; Tags; Profession; National priorities
page_0286,Health Education England’s inaugural Board meeting | Health Education England,3,5,0.64,AMBIGUOUS,Region; Career stage; Event type; Recruitment format; National priorities
page_0287,Ian Cumming confirmed as Chief Executive of Health Education England | Health Education England,3,4,0.55,AMBIGUOUS,Region; National priorities
page_0288,HEE appoints its senior management team | Health Education England,3,4,0.55,AMBIGUOUS,Region; Topic; National priorities
page_0289,Three Non-Executive Directors appointed | Health Education England,3,4,0.0,CONFLICT,
page_0290,BTBC steps forward | Health Education England,3,6,0.86,COHERENT,Tags; Training type; National priorities
page_0291,Testing out technology | Health Education England,3,6,0.762,COHERENT,Training type; Career stage; Event type; Topic; Publication type; Tags; Profession; National priorities
page_0292,Medical Director appointed | Health Education England,3,4,0.7,COHERENT,Region; National priorities
page_0293,Our Strategic Intent | Health Education England,3,5,0.64,AMBIGUOUS,Region; Career stage; National priorities
page_0296,HEE recommends authorisation of 13 Local Education and Training Boards | Health Education England,3,4,0.85,COHERENT,Training type; Career stage; Recruitment format
page_0297,Health Education England » Health Education England to pilot healthcare experience for aspirant nurses before university,3,5,0.88,COHERENT,Training type; Career stage; Tags; Profession; National priorities
page_0298,Health Education England » HEE approves authorisation of 13 Local Education and Training Boards,3,5,0.76,COHERENT,Region; Training type; Career stage; Tags; National priorities
page_0299,Health Education England » Shadowing for Foundation Year 1 (F1) Doctors,3,6,0.6,AMBIGUOUS,Tags; National priorities
page_0301,Health Education England » Top nurses to oversee pilots on pre-degree care experience,3,6,0.9,COHERENT,Region; National priorities; Profession; Recruitment format
page_0302,Health Education England » Health Education England support for integrated care initiative,2,4,0.805,COHERENT,Region; Tags; National priorities
page_0303,Health Education England » New national dementia training launched for healthcare staff,3,6,0.9,COHERENT,Tags; Topic; National priorities
page_0305,Health Education England » Help support and shape workforce planning within the NHS,3,4,0.7,COHERENT,Publication type; Region; Career stage; National priorities
page_0306,Health Education England » Designing HEE’s new Multi Professional Advisory Body (MPAB),2,4,0.85,COHERENT,Publication type; Tags; Clinical discipline
page_0307,Health Education England » Celebrating our people – 65 years of NHS workforce development,3,5,0.64,AMBIGUOUS,Region; Career stage; Tags; Recruitment format; National priorities
page_0309,Health Education England » Health Education West Midlands wins top national patient safety award,3,4,1.0,COHERENT,Clinical discipline; Region; Tags; Profession; National priorities
page_0310,Health Education England » HEE responds to the Don Berwick report,3,6,0.6,AMBIGUOUS,Region; Topic; National priorities
page_0311,Health Education England » HEE welcomes new generation of doctors,3,5,0.76,COHERENT,Region; National priorities
page_0313,Health Education England »  Pre-nursing experience pilots recruit aspirant nurses to get caring experience,3,6,0.9,COHERENT,Event type; Tags; Training type; National priorities
page_0314,Health Education England » New Non-Executive Director announced for HEE,3,4,0.85,COHERENT,Region; Clinical discipline; National priorities
page_0316,Health Education England » Supplying pharmacy graduates – a consultation,3,5,0.72,COHERENT,Publication type; Tags; Clinical discipline; National priorities
page_0320,Health Education England » Postgraduate Dean receives award for surgical education and training,3,6,0.5,AMBIGUOUS,Career stage
page_0321,Health Education England » Postgraduate Dean receives award for surgical education and training,3,5,0.36,CONFLICT,Tags; National priorities
page_0322,Health Education England » HEE supports improved training for paramedics,3,6,0.9,COHERENT,Region; Training type; Topic; Tags; Recruitment format; National priorities
page_0323,Health Education England » HEE supports improved training for paramedics,3,6,0.867,COHERENT,Clinical discipline; Region; Career stage; Topic; Publication type; Tags; National priorities
page_0324,Health Education England » HEE supports fourteen areas leading the way in delivering better joined up care.,4,8,0.625,AMBIGUOUS,Tags; Recruitment format; National priorities
page_0325,Health Education England » HEE Chief Executive on Francis Response,3,6,0.76,COHERENT,Region; Profession; National priorities
page_0326,"Health Education England » HEE delivers dementia awareness training to more than 100,000 staff to improve care for patients",3,6,0.7,COHERENT,Region; National priorities
page_0327,Health Education England » Non-surgical cosmetic interventions: Call for Evidence,3,4,0.7,COHERENT,Region; National priorities; Tags; Recruitment format
